id	labels
1444096979785682946	1
1444125698193510400	3,22
1444377125742694403	18
1444440199665229824	27
1444060711630614528	27
1444526518437355520	7
1444342480770568192	1,12
1444361938176253958	27
1444702188509573126	10
1444418364131135488	22
1444419748264124416	10
1444723264874500103	25
1444711483049488388	2
1444416006940729345	2
1444350835840925696	25
1444082081596837889	26
1444438391928598531	1
1444527537674235906	6
1444452694501036037	27
1444319676335632391	25
1444351712467247108	9
1444378509862920194	8
1444115774466101252	8
1444703966869217285	27
1444440564598988800	8
1444723025790869504	6
1444044320282136581	8,13
1444440124201308161	25
1444090315053338626	1,7,22
1444423980325261312	27
1444105041229537280	2
1444091481048899585	6,7
1444053262550933505	10,25
1444376756656427012	4,22
1444703404849311759	0,18
1444704969303724033	2,3,10
1444721704606048265	4
1444126579001634816	13
1444027895404503040	1
1444436911326699524	8
1444027303986610177	19,3
1444710912624140305	0
1444712963663966209	1
1444704478599565317	27
1444452921001775105	22
1444074112427700231	4
1444318262880317448	18
1444419198797684747	6
1444324189410893828	1
1444420650047885318	15
1444359669045211142	25,10
1444706361837752327	0
1444423862880542725	19,8
1444703232891183111	2
1444414614406631426	27
1444459233433591808	7,3
1444703987836628993	10
1444345106434338827	2
1444457408919654406	7
1444449397807398914	0
1444089052555325443	27
1444104340793352192	5
1444349917292634120	15
1444436416423940104	1
1444126121818210306	25,5
1444083373480239104	8
1444525226604236804	2
1444722887374655491	2
1444419093952598021	8
1444458994345652224	26
1444439516022853642	1
1444419383347064832	27
1444457643783999497	27
1444349200041381896	1,4
1444052822132203529	27
1444083172141064192	4,17
1444416023705309186	1,11
1444723025807646723	19
1444326135593115650	10
1444151413442060288	8
1444104844097294339	24,9
1444106303727673344	27
1444075945363705857	27
1444151358953828360	8
1444368703592837128	27
1444729103341469696	6,7
1444027861858504709	1
1444731083044630533	1
1444076473820848141	27
1444097210455625728	2,11
1444418779375673355	2,10,11
1444117057897959426	1
1444449481655734273	0
1444153137326080003	2
1444091086780182530	1,18
1444378765690384387	27
1444714020615999488	1
1444420952020983808	2
1444082102568464386	8
1444054789281796098	7,25
1444723113867030533	27
1444725521405861896	8
1444522101847830529	12
1444721448745115648	25
1444091506231496704	22
1444422478739263493	17
1444325275735629832	27
1444350655485947911	8
1444105091552890884	22
1444436663871082516	3
1444440593942335496	27
1444436143798378497	27
1444703539075371025	0,4
1444733595457888259	2,24
1444457450850197507	24
1444060363511709700	8
1444422948522233877	27
1444438689724178439	25
1444088733800837121	10,9,11
1444722384053866500	17
1444124913858752527	1
1444712993036587009	27
1444462152685924353	8
1444731246609944581	6,18
1444713324374020101	13,22,26
1444104332383768577	25
1444421497288892418	27
1444710220576534532	6
1444436689028591619	14
1444042793551335434	14
1444368800028241922	2
1444053744912683009	27
1444096874907066373	8
1444326848607961092	8
1444364744148889603	1,19
1444324357178855433	8
1444423384729853957	10
1444105926252933120	3
1444083746739822594	11
1444710757439098891	27
1444153149904801794	27
1444082899498713088	7
1444705803982843918	11
1444043972171665417	27
1444351704053567489	1
1444711210436513796	0,4
1444027366905458695	8
1444461825500790784	11
1444423309232328707	4
1444459233420972034	27
1444106106570223616	19,8
1444376563680690177	27
1444521879574917121	4
1444714112903229450	1
1444326441764671496	7
1444117213108183042	27
1444075853072191493	27
1444366719686959105	21
1444075970516946945	27
1444317235288363009	22
1444367881496666126	7
1444423674107514886	8
1444733486384943119	1
1444439675377176583	20
1444344502450335748	1
1444459241818009602	6,7
1444731879958138880	25
1444440912701034496	25
1444027941554372612	23
1444522147985207298	25,9
1444705581701505028	27
1444151207929462785	27
1444437012010962951	2
1444725387171409920	3
1444377616480448519	14
1444090315036667904	8
1444710073788416003	10
1444728960747819013	27
1444701941007794178	10
1444526598133329920	12
1444116881745588227	8
1444360994424229895	27
1444104596641787907	21
1444365369108484098	19,20
1444376525944545281	2
1444081578280370179	2
1444733482178129923	6
1444448655403065348	27
1444462559533350916	18,17
1444704386324865038	27
1444451146807095303	5
1444712724588552198	8
1444452321233100802	27
1444378862176067584	8
1444701945223159812	8,24
1444452035995357192	27
1444438098335698954	7
1444345072867319818	3
1444449716541050886	20
1444456914000261122	25,9
1444721025120358400	17
1444722182731571203	0
1444732072900374529	1,6
1444152726296875010	10,3
1444724216981598210	25
1444712875575156738	25,8
1444423699269095426	22
1444125752719511562	1
1444526736574660608	3
1444096027657637889	2,10
1444530721142542341	2
1444349040695644162	17
1444709901809471489	2
1444709964711448584	16,25
1444365411055714315	0
1444097332086181889	3
1444524731680559107	3,11
1444044559374225416	25
1444318946564395014	8
1444415444878864388	11
1444449829791444992	9
1444421153355874314	6
1444054529226444803	27
1444375502547001344	3,26,23
1444416069842653186	11
1444349581744132106	2
1444452627387928577	0
1444342057145864194	0
1444369542436765697	7
1444091439122722819	0,20
1444713487956074511	8
1444359425792389125	20
1444117510895415301	24
1444342036191223810	6
1444053459704164355	6
1444376236550246403	7
1444451612395704321	8,9
1444124897064673285	8
1444369806665322501	27
1444441772562817025	4
1444528900827230211	27
1444061479175602184	27
1444095507580784640	14
1444450958059216901	2
1444366530922299396	8,4
1444054634075729920	27
1444090088544145416	8
1444054185302007813	25
1444375447995826176	26
1444090944169598980	27
1444720718919442433	19
1444343630026715147	2
1444369794086674438	3
1444326420805791748	18
1444421954442874880	8
1444376995694096394	0
1444457048213762049	26
1444418959743328265	27
1444083889371222018	21
1444341960693649419	2
1444351095904608262	27
1444710744885501959	22
1444419454654423049	6
1444436756175200256	17,21
1444126490908676101	3
1444325355448320003	12
1444729044638081029	26
1444089727821492225	11
1444378300139311104	8
1444061286237605892	26
1444451595614306310	11,10
1444029904459386885	23
1444452581271646218	27
1444105624246177795	17
1444360965080981509	26
1444526283573055489	17
1444364693838118913	27
1444061932194082820	17
1444376400107130883	8
1444316761319432192	27
1444461737412005890	14
1444413024786423811	2
1444525251774369795	26
1444153208608280580	17
1444423628003610633	13
1444462744082714624	10
1444461099890483203	21
1444530771490914307	0
1444081582504042500	21
1444714054174580739	27
1444701517383143426	27
1444522873612378117	9
1444423024007172106	23
1444126209894457348	18
1444701861324394499	27
1444030030292660225	9
1444052666963873792	1,21
1444062406133653513	11
1444714272269950981	9,24
1444082614277742593	8,21
1444075039398191105	14
1444724078552752137	25
1444459602528063490	2
1444060380301570049	0
1444351183968215040	16,25
1444060816479854594	25
1444091019667066880	15
1444126809684070400	8,15
1444420633262166017	18
1444458872702476288	8
1444153753876172801	25
1444458251970547713	15
1444326320146616320	8
1444360122034233347	8
1444419035202994180	6
1444318405465722887	15
1444730072234184704	27
